Index,Rank,Major,Early_Career_Pay,Mid_Career_Pay,High_Meaning_percent
317,317,Parks & Recreation Management,38200,51700,54
318,318,Health Services Administration,36300,51500,62
319,318,Special Education,35000,51500,74
320,320,Art Teacher Education,35300,51300,62
321,321,Theology,37600,51200,68
322,322,Culinary Arts & Food Service Management,34700,50500,48
323,322,Horticulture,37600,50500,63
324,322,Pastoral Ministry,32800,50500,93
325,325,Bible Studies & Theology,34900,50400,68
326,326,Biblical Studies,36200,49400,70
327,327,Elementary Education,34700,48900,72
328,328,Youth Ministry,32900,48400,71
329,329,Human Development & Family Studies,34300,47800,65
330,330,Therapeutic Recreation,35200,47700,81
331,331,Social Work (SW),33800,46700,78
332,332,Human Services (HS),34000,44600,78
333,333,Child Development,32000,42500,75
334,334,Early Childhood & Elementary Education,34800,41900,73
335,335,Child & Family Studies,31400,40700,59
336,336,Early Childhood Education,30700,37500,75
