rank,college_name,early_careerr,mid_career
189 (tie),University of Arizona,"$50,500.00","$87,100.00"
193 (tie),California Lutheran University (CLU),"$42,500.00","$87,000.00"
193 (tie),Oregon Institute of Technology (OIT),"$59,500.00","$87,000.00"
195 (tie),University of Michigan - Dearborn Campus,"$49,400.00","$86,900.00"
195 (tie),University of Minnesota - Twin Cities,"$51,700.00","$86,900.00"
197 (tie),University of Tulsa,"$56,100.00","$86,800.00"
197 (tie),University of Wisconsin (UW) - Madison,"$50,800.00","$86,800.00"
199 (tie),Long Island University - C W Post Campus,"$46,700.00","$86,700.00"
199 (tie),SUNY - Geneseo,"$43,300.00","$86,700.00"
199 (tie),University of Washington - Bothell Campus,"$51,800.00","$86,700.00"
202,James Madison University (JMU),"$49,500.00","$86,600.00"
203,Gustavus Adolphus College,"$45,100.00","$86,500.00"
204 (tie),Saint Peters College,"$46,300.00","$86,400.00"
204 (tie),University of Massachusetts (UMass) - Dartmouth Campus,"$50,300.00","$86,400.00"
204 (tie),University of Pittsburgh - Main Campus,"$53,300.00","$86,400.00"
207,University of Houston (UH),"$51,800.00","$86,300.00"
208,University of Redlands,"$47,400.00","$86,100.00"
209,Syracuse University,"$51,900.00","$86,000.00"
210,Farmingdale State College,"$49,200.00","$85,900.00"
211,Whitman College,"$44,000.00","$85,800.00"
212,New York Institute of Technology (NYIT),"$53,200.00","$85,600.00"
213 (tie),Long Island University - Brooklyn,"$55,200.00","$85,500.00"
213 (tie),Montana State University - Main Campus,"$48,400.00","$85,500.00"
213 (tie),University of Colorado - Denver Campus,"$50,000.00","$85,500.00"
213 (tie),University of Idaho,"$48,300.00","$85,500.00"
217 (tie),Drake University,"$45,100.00","$85,400.00"
217 (tie),University of Illinois at Chicago,"$51,500.00","$85,400.00"
219,University of California - Santa Cruz (UCSC),"$49,900.00","$85,300.00"
220 (tie),Gonzaga University,"$51,700.00","$85,200.00"
220 (tie),Michigan State University (MSU),"$49,800.00","$85,200.00"
220 (tie),Middlebury College,"$49,200.00","$85,200.00"
223 (tie),Colorado College (CC),"$42,700.00","$85,100.00"
223 (tie),Rockhurst University,"$46,800.00","$85,100.00"
223 (tie),University of Florida (UF),"$49,500.00","$85,100.00"
223 (tie),University of North Carolina at Chapel Hill (UNC),"$46,600.00","$85,100.00"
227,SUNY - Albany,"$44,800.00","$84,900.00"
228 (tie),CUNY - Bernard M Baruch College,"$51,700.00","$84,500.00"
228 (tie),"Mount St. Mary's College - Los Angeles, CA","$44,000.00","$84,500.00"
228 (tie),The New School,"$47,700.00","$84,500.00"
231 (tie),California State University - Sacramento (CSUS),"$46,800.00","$84,300.00"
231 (tie),Walla Walla University,"$51,000.00","$84,300.00"
233 (tie),CUNY - Queens College,"$45,700.00","$84,200.00"
233 (tie),California State University - Long Beach (CSULB),"$45,300.00","$84,200.00"
233 (tie),Grinnell College,"$41,100.00","$84,200.00"
233 (tie),Macalester College,"$44,700.00","$84,200.00"
233 (tie),University of Oklahoma,"$49,300.00","$84,200.00"
238 (tie),DePaul University,"$50,200.00","$84,000.00"
238 (tie),New England Institute of Technology,"$44,500.00","$84,000.00"
238 (tie),University of Massachusetts (UMass) - Amherst Campus,"$50,000.00","$84,000.00"
238 (tie),University of Missouri - Columbia,"$44,200.00","$84,000.00"
242 (tie),"Fairleigh Dickinson University (FDU) - Madison, NJ","$46,200.00","$83,900.00"
242 (tie),Sonoma State University,"$46,100.00","$83,900.00"
242 (tie),"St. Mary's University - San Antonio, TX","$44,400.00","$83,900.00"
242 (tie),University of Denver,"$47,800.00","$83,900.00"
242 (tie),University of Georgia (UGA),"$47,300.00","$83,900.00"
242 (tie),Wellesley College,"$51,000.00","$83,900.00"
248,Centre College of Kentucky,"$41,100.00","$83,600.00"
249,California State University - Northridge (CSUN),"$44,900.00","$83,500.00"
250 (tie),Lewis & Clark College,"$44,000.00","$83,200.00"
250 (tie),"North Central College - Naperville, IL","$43,800.00","$83,200.00"
250 (tie),San Diego State University (SDSU) - Main Campus,"$49,700.00","$83,200.00"
250 (tie),University of Maryland University College (UMUC),"$50,600.00","$83,200.00"
250 (tie),"University of St. Thomas - St Paul, MN","$49,100.00","$83,200.00"
255 (tie),Iona College,"$49,900.00","$83,100.00"
255 (tie),Pennsylvania State University (Penn State) - Erie-Behrend College,"$55,400.00","$83,100.00"
255 (tie),University of Evansville,"$46,200.00","$83,100.00"
258,University of Texas at Arlington (UTA),"$51,800.00","$83,000.00"
259 (tie),Baylor University,"$49,700.00","$82,900.00"
259 (tie),Butler University,"$44,600.00","$82,900.00"
259 (tie),Howard University,"$50,000.00","$82,900.00"
259 (tie),University of Kentucky (UK),"$46,100.00","$82,900.00"
259 (tie),University of New Hampshire (UNH) - Main Campus,"$49,000.00","$82,900.00"
259 (tie),University of New Mexico (UNM),"$40,700.00","$82,900.00"
265 (tie),Arcadia University,"$36,900.00","$82,800.00"
265 (tie),Louisiana State University (LSU),"$47,000.00","$82,800.00"
265 (tie),Oklahoma State University (OSU) - Main Campus,"$46,500.00","$82,800.00"
265 (tie),San Francisco State University (SFSU),"$49,500.00","$82,800.00"
269 (tie),Montclair State University,"$44,200.00","$82,700.00"
269 (tie),University of Texas - Medical Branch (UTMB),"$58,400.00","$82,700.00"
269 (tie),Widener University - Main Campus,"$49,700.00","$82,700.00"
272 (tie),Colorado State University (CSU),"$46,800.00","$82,600.00"
272 (tie),"Fairleigh Dickinson University (FDU) - Teaneck, NJ","$46,800.00","$82,600.00"
272 (tie),Pennsylvania State University (Penn State) - Harrisburg Campus,"$52,100.00","$82,600.00"
272 (tie),Samford University,"$43,100.00","$82,600.00"
272 (tie),St. Olaf College,"$45,200.00","$82,600.00"
272 (tie),Thomas Edison State College,"$47,500.00","$82,600.00"
272 (tie),University at Buffalo (UB),"$47,600.00","$82,600.00"
279 (tie),Alma College,"$42,200.00","$82,500.00"
279 (tie),Rhode Island School of Design (RISD),"$48,500.00","$82,500.00"
279 (tie),Siena College,"$46,800.00","$82,500.00"
279 (tie),The University of Texas (UT) - Health Science Center at San Antonio,"$52,700.00","$82,500.00"
283 (tie),Iowa State University,"$51,200.00","$82,400.00"
283 (tie),Loma Linda University,"$68,500.00","$82,400.00"
283 (tie),Ohio State University (OSU) - Main Campus,"$51,600.00","$82,400.00"
283 (tie),Utah State University - Main Campus,"$48,200.00","$82,400.00"
287 (tie),Adelphi University,"$46,400.00","$82,300.00"
287 (tie),University of Kansas,"$46,900.00","$82,300.00"
289 (tie),Ohio Wesleyan University (OWU),"$41,600.00","$82,200.00"
289 (tie),Ramapo College of New Jersey,"$42,700.00","$82,200.00"
291,University of Scranton,"$47,300.00","$82,100.00"
292 (tie),Duquesne University,"$47,100.00","$82,000.00"
292 (tie),Kansas State University (KSU),"$48,300.00","$82,000.00"
292 (tie),"Monmouth University - West Long Branch, NJ","$47,100.00","$82,000.00"
295 (tie),California State University - Fullerton (CSUF),"$43,400.00","$81,900.00"
295 (tie),Quinnipiac University,"$49,400.00","$81,900.00"
297,Indiana University (IU) - Bloomington,"$47,700.00","$81,800.00"
298 (tie),Bloomsburg University of Pennsylvania,"$44,500.00","$81,700.00"
298 (tie),"Cornell College - Mount Vernon, IA","$41,100.00","$81,700.00"
298 (tie),Lamar University,"$49,800.00","$81,700.00"
298 (tie),Smith College,"$41,600.00","$81,700.00"
298 (tie),University of North Dakota,"$48,400.00","$81,700.00"
298 (tie),Western Washington University,"$47,900.00","$81,700.00"
304 (tie),Arizona State University (ASU),"$49,300.00","$81,600.00"
304 (tie),"Saint Joseph's University (SJU) - Philadelphia, PA","$48,800.00","$81,600.00"
304 (tie),University of San Diego (USD),"$51,800.00","$81,600.00"
307 (tie),Humboldt State University,"$41,400.00","$81,500.00"
307 (tie),New Mexico State University - Main Campus,"$46,500.00","$81,500.00"
307 (tie),University of Cincinnati (UC),"$48,900.00","$81,500.00"
310 (tie),Pacific Lutheran University,"$44,500.00","$81,400.00"
310 (tie),Tennessee Technological University (TTU),"$53,800.00","$81,400.00"
312 (tie),Art Center College of Design,"$62,300.00","$81,300.00"
312 (tie),Thomas Jefferson University,"$58,900.00","$81,300.00"
314,Excelsior College,"$52,500.00","$81,200.00"
315 (tie),Catholic University of America,"$52,000.00","$81,100.00"
315 (tie),University of Richmond,"$52,200.00","$81,100.00"
317 (tie),Southwestern University,"$50,000.00","$81,000.00"
317 (tie),University of New England (UNE),"$48,700.00","$81,000.00"
317 (tie),Western New England College,"$54,300.00","$81,000.00"
320,University of Nebraska - Lincoln,"$44,600.00","$80,900.00"
321 (tie),Alfred University,"$48,600.00","$80,800.00"
321 (tie),Elizabethtown College,"$41,500.00","$80,800.00"
321 (tie),University of Iowa (UI),"$48,600.00","$80,800.00"
324,LeTourneau University,"$55,900.00","$80,700.00"
325,Rutgers University - Newark Campus,"$50,200.00","$80,600.00"
326,Hamline University,"$44,300.00","$80,500.00"
327 (tie),Bellarmine University,"$45,200.00","$80,400.00"
327 (tie),Biola University,"$43,000.00","$80,400.00"
327 (tie),Merrimack College,"$51,400.00","$80,400.00"
327 (tie),West Virginia University (WVU) - Main Campus,"$48,500.00","$80,400.00"
331 (tie),University of Maryland - Eastern Shore Campus,"$39,200.00","$80,300.00"
331 (tie),University of Tennessee,"$46,500.00","$80,300.00"
333,CUNY - Brooklyn College,"$43,100.00","$80,200.00"
334,Morehouse College,"$50,000.00","$80,100.00"
335,The College of New Jersey (TCNJ),"$51,100.00","$80,000.00"
336 (tie),Emerson College,"$43,100.00","$79,800.00"
336 (tie),"Touro College - New York, NY","$50,200.00","$79,800.00"
338 (tie),Susquehanna University,"$42,900.00","$79,700.00"
338 (tie),University of Alaska - Anchorage Campus,"$52,400.00","$79,700.00"
340,"Dickinson College - Carlisle, PA","$45,500.00","$79,600.00"
341 (tie),CUNY - City College,"$51,300.00","$79,500.00"
341 (tie),Minnesota State University - Mankato Campus,"$45,600.00","$79,500.00"
341 (tie),University of Maine at Orono,"$50,600.00","$79,500.00"
344 (tie),Houston Baptist University,"$49,200.00","$79,400.00"
344 (tie),University of Wyoming (UW),"$48,500.00","$79,400.00"
346 (tie),"Trine University - Angola, IN","$54,600.00","$79,200.00"
346 (tie),University of Detroit Mercy (UDM),"$50,300.00","$79,200.00"
348 (tie),University of Texas at Dallas,"$51,100.00","$79,100.00"
348 (tie),University of Wisconsin (UW) - Platteville Campus,"$55,500.00","$79,100.00"
350 (tie),North Dakota State University (NDSU),"$49,500.00","$79,000.00"
350 (tie),Prairie View A & M University,"$52,100.00","$79,000.00"
352,University of Minnesota - Duluth Campus,"$48,900.00","$78,900.00"
353,"Oakland University - Rochester Hills, MI","$47,300.00","$78,700.00"
354,University of Massachusetts (UMass) - Boston Campus,"$46,600.00","$78,600.00"
355 (tie),Central College,"$43,300.00","$78,500.00"
355 (tie),Marist College,"$48,100.00","$78,500.00"
357 (tie),"Lake Superior State University - Sault Ste Marie, MI","$39,900.00","$78,400.00"
357 (tie),Suffolk University,"$45,700.00","$78,400.00"
359 (tie),Canisius College,"$39,800.00","$78,300.00"
359 (tie),SUNY - Institute of Technology (SUNYIT),"$45,700.00","$78,300.00"
361 (tie),Framingham State University,"$43,400.00","$78,100.00"
361 (tie),"Marymount University - Arlington, VA","$46,000.00","$78,100.00"
361 (tie),Stephen F. Austin State University (SFA),"$40,700.00","$78,100.00"
361 (tie),Worcester State University,"$44,700.00","$78,100.00"
365 (tie),Dowling College,"$44,400.00","$78,000.00"
365 (tie),University of Miami (UM) - Florida,"$50,600.00","$78,000.00"
367,SUNY - College of Environmental Science and Forestry (SUNY-ESF),"$46,200.00","$77,900.00"
368 (tie),Daemen College,"$38,200.00","$77,800.00"
368 (tie),Hartwick College,"$46,300.00","$77,800.00"
370 (tie),Creighton University,"$44,800.00","$77,700.00"
370 (tie),Mississippi State University (MSU),"$45,200.00","$77,700.00"
370 (tie),Temple University,"$45,600.00","$77,700.00"
370 (tie),Western Connecticut State University,"$42,900.00","$77,700.00"
374 (tie),Le Moyne College,"$38,200.00","$77,600.00"
374 (tie),University of Louisiana - Monroe Campus,"$45,000.00","$77,600.00"
376 (tie),"Allegheny College - Meadville, PA","$39,700.00","$77,500.00"
376 (tie),"Carroll College - Helena, MT","$45,200.00","$77,500.00"
