Rank,CollegeTYpe,College Type,Early Career,Mid Career
[object Object],"Private School, Research University, Religious, Sober School, For Sports Fans",,,
,,,,
107,University of Massachusetts (UMass) - Lowell Campus,"State School, Research University, For Sports Fans","$54,100.00","$93,400.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
108,California State University - Chico,State School,"$49,800.00","$93,300.00"
[object Object],State School,,,
,,,,
109,"Miami University - Oxford, OH","State School, Research University, Party School, For Sports Fans","$50,500.00","$93,200.00"
[object Object],"State School, Research University, Party School, For Sports Fans",,,
,,,,
110,"Fashion Institute of Technology - New York, NY",State School,"$46,400.00","$93,100.00"
[object Object],State School,,,
,,,,
111 (tie),Drexel University,"Private School, Research University, For Sports Fans","$57,700.00","$92,900.00"
[object Object],"Private School, Research University, For Sports Fans",,,
,,,,
111 (tie),Hobart William Smith Colleges,"Private School, Liberal Arts School","$48,600.00","$92,900.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
111 (tie),Loyola Marymount University,"Private School, Religious, For Sports Fans","$50,300.00","$92,900.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
114 (tie),Gettysburg College,"Private School, Liberal Arts School","$46,400.00","$92,700.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
114 (tie),SUNY - Binghamton University,"State School, Research University, For Sports Fans","$50,400.00","$92,700.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
114 (tie),University of Portland,"Private School, Religious, For Sports Fans","$52,500.00","$92,700.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
117,Case Western Reserve University,"Private School, Research University, Engineering School","$58,600.00","$92,600.00"
[object Object],"Private School, Research University, Engineering School",,,
,,,,
118,Whittier College,"Private School, Liberal Arts School","$39,800.00","$92,500.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
119 (tie),"Union College - Schenectady, NY","Private School, Liberal Arts School","$54,400.00","$92,200.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
119 (tie),University of Maryland - College Park,"State School, Research University, For Sports Fans","$55,200.00","$92,200.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
121,Milwaukee School of Engineering,"Private School, Engineering School","$63,500.00","$92,000.00"
[object Object],"Private School, Engineering School",,,
,,,,
122,Lawrence Technological University,Private School,"$53,200.00","$91,800.00"
[object Object],Private School,,,
,,,,
123,Saint Anselm College,"Private School, Liberal Arts School, Religious","$49,000.00","$91,600.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
124,University of Puget Sound,"Private School, Liberal Arts School","$46,500.00","$91,400.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
125,Rutgers University - New Brunswick Campus,"State School, Research University, For Sports Fans","$51,300.00","$91,300.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
126,Seattle Pacific University (SPU),"Private School, Religious","$47,200.00","$91,200.00"
[object Object],"Private School, Religious",,,
,,,,
127,Wagner College,"Private School, Religious, For Sports Fans","$48,300.00","$91,100.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
128,John Carroll University,"Private School, Religious","$44,600.00","$91,000.00"
[object Object],"Private School, Religious",,,
,,,,
129,Grove City College,"Private School, Liberal Arts School, Religious, Sober School","$47,800.00","$90,900.00"
[object Object],"Private School, Liberal Arts School, Religious, Sober School",,,
,,,,
130,Fairfield University,"Private School, Religious, For Sports Fans","$56,300.00","$90,800.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
131 (tie),California State University - East Bay (CSUEB),State School,"$49,700.00","$90,600.00"
[object Object],State School,,,
,,,,
131 (tie),"Seton Hall University - South Orange, NJ","Private School, Religious, For Sports Fans","$50,800.00","$90,600.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
133,College of the Holy Cross,"Private School, Liberal Arts School, Religious, For Sports Fans","$49,800.00","$90,500.00"
[object Object],"Private School, Liberal Arts School, Religious, For Sports Fans",,,
,,,,
134,West Virginia University Institute of Technology (WVU Tech),State School,"$53,300.00","$90,300.00"
[object Object],State School,,,
,,,,
135,University of Dayton,"Private School, Research University, Religious, For Sports Fans","$52,700.00","$90,200.00"
[object Object],"Private School, Research University, Religious, For Sports Fans",,,
,,,,
136 (tie),The College of William and Mary,"State School, Research University, For Sports Fans","$49,100.00","$89,900.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
136 (tie),University of Delaware,"State School, Research University, For Sports Fans","$51,500.00","$89,900.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
138 (tie),Stonehill College,"Private School, Liberal Arts School, Religious","$47,400.00","$89,800.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
138 (tie),"University of Maryland, Baltimore County (UMBC)","State School, Research University, For Sports Fans","$51,200.00","$89,800.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
140 (tie),Boston University,"Private School, Research University, For Sports Fans","$51,800.00","$89,700.00"
[object Object],"Private School, Research University, For Sports Fans",,,
,,,,
140 (tie),University of Houston Clear Lake (UHCL),State School,"$46,600.00","$89,700.00"
[object Object],State School,,,
,,,,
140 (tie),University of Vermont (UVM),"State School, Research University, Party School, For Sports Fans","$45,800.00","$89,700.00"
[object Object],"State School, Research University, Party School, For Sports Fans",,,
,,,,
143 (tie),Rochester Institute of Technology (RIT),Private School,"$57,400.00","$89,600.00"
[object Object],Private School,,,
,,,,
143 (tie),University of the Pacific,"Private School, For Sports Fans","$50,900.00","$89,600.00"
[object Object],"Private School, For Sports Fans",,,
,,,,
145,Colby College,"Private School, Liberal Arts School","$49,300.00","$89,500.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
146 (tie),Seattle University,"Private School, Religious, For Sports Fans","$52,000.00","$89,400.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
146 (tie),Texas Tech University,"State School, Research University, For Sports Fans","$51,600.00","$89,400.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
148,Marquette University,"Private School, Religious, For Sports Fans","$52,200.00","$89,300.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
149 (tie),Bradley University,"Private School, For Sports Fans","$50,600.00","$89,200.00"
[object Object],"Private School, For Sports Fans",,,
,,,,
149 (tie),University of Utah,"State School, Research University, For Sports Fans","$49,400.00","$89,200.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
151 (tie),Northeastern University,"Private School, Research University, For Sports Fans","$57,800.00","$89,100.00"
[object Object],"Private School, Research University, For Sports Fans",,,
,,,,
151 (tie),Southern Methodist University (SMU),"Private School, Research University, Religious, For Sports Fans","$53,900.00","$89,100.00"
[object Object],"Private School, Research University, Religious, For Sports Fans",,,
,,,,
151 (tie),Washington State University (WSU),"State School, Research University, For Sports Fans","$50,400.00","$89,100.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
154,University of Alaska - Fairbanks Campus,"State School, Research University","$54,100.00","$88,900.00"
[object Object],"State School, Research University",,,
,,,,
155 (tie),Furman University,"Private School, Liberal Arts School, For Sports Fans","$45,100.00","$88,800.00"
[object Object],"Private School, Liberal Arts School, For Sports Fans",,,
,,,,
155 (tie),Ithaca College,Private School,"$43,600.00","$88,800.00"
[object Object],Private School,,,
,,,,
157 (tie),Kenyon College,"Private School, Liberal Arts School","$45,700.00","$88,700.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
157 (tie),University of Connecticut (UConn) - Main Campus,"State School, Research University, For Sports Fans","$53,300.00","$88,700.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
159 (tie),California State Polytechnic University - Pomona,State School,"$51,000.00","$88,600.00"
[object Object],State School,,,
,,,,
159 (tie),Montana Tech of The University of Montana,"State School, Engineering School","$58,300.00","$88,600.00"
[object Object],"State School, Engineering School",,,
,,,,
161 (tie),Pepperdine University,"Private School, Religious, Sober School, For Sports Fans","$48,600.00","$88,400.00"
[object Object],"Private School, Religious, Sober School, For Sports Fans",,,
,,,,
161 (tie),University of Hartford,"Private School, For Sports Fans","$49,100.00","$88,400.00"
[object Object],"Private School, For Sports Fans",,,
,,,,
163 (tie),George Mason University,"State School, Research University, For Sports Fans","$52,100.00","$88,300.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
163 (tie),"La Salle University - Philadelphia, PA","Private School, Religious, For Sports Fans","$48,200.00","$88,300.00"
[object Object],"Private School, Religious, For Sports Fans",,,
