Rank,CollegeTYpe,College Type,Early Career,Mid Career
,,,,
600 (tie),Winona State University,State School,"$43,700.00","$70,900.00"
[object Object],State School,,,
,,,,
606,University of West Georgia,State School,"$43,900.00","$70,800.00"
[object Object],State School,,,
,,,,
607 (tie),Carthage College,"Private School, Liberal Arts School, Religious","$44,000.00","$70,700.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
607 (tie),Salisbury University,State School,"$44,800.00","$70,700.00"
[object Object],State School,,,
,,,,
607 (tie),University of Central Florida (UCF),"State School, Research University, For Sports Fans","$43,500.00","$70,700.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
610 (tie),Florida Agricultural and Mechanical (A&M) University (FAMU),"State School, For Sports Fans","$42,400.00","$70,600.00"
[object Object],"State School, For Sports Fans",,,
,,,,
610 (tie),University of Mount Union,"Private School, Religious","$40,100.00","$70,600.00"
[object Object],"Private School, Religious",,,
,,,,
610 (tie),Western Illinois University,"State School, For Sports Fans","$41,500.00","$70,600.00"
[object Object],"State School, For Sports Fans",,,
,,,,
613 (tie),Nichols College,"Private School, Business School","$44,300.00","$70,500.00"
[object Object],"Private School, Business School",,,
,,,,
613 (tie),Northern Kentucky University (NKU),"State School, For Sports Fans","$43,300.00","$70,500.00"
[object Object],"State School, For Sports Fans",,,
,,,,
613 (tie),West Chester University,State School,"$41,900.00","$70,500.00"
[object Object],State School,,,
,,,,
616 (tie),College for Creative Studies,"Private School, Arts, Music & Design School","$47,900.00","$70,400.00"
[object Object],"Private School, Arts, Music & Design School",,,
,,,,
616 (tie),Eastern Connecticut State University,State School,"$44,200.00","$70,400.00"
[object Object],State School,,,
,,,,
616 (tie),Georgia State University,"State School, Research University, For Sports Fans","$45,700.00","$70,400.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
616 (tie),Nova Southeastern University,"Private School, Research University","$44,500.00","$70,400.00"
[object Object],"Private School, Research University",,,
,,,,
616 (tie),Wright State University - Main Campus,"State School, Research University, For Sports Fans","$45,300.00","$70,400.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
621 (tie),Rivier College,"Private School, Religious","$48,500.00","$70,300.00"
[object Object],"Private School, Religious",,,
,,,,
621 (tie),Saginaw Valley State University (SVSU),State School,"$42,700.00","$70,300.00"
[object Object],State School,,,
,,,,
621 (tie),University of Mary Hardin-Baylor (UMHB),"Private School, Religious","$44,500.00","$70,300.00"
[object Object],"Private School, Religious",,,
,,,,
621 (tie),University of Missouri - St. Louis Campus,"State School, Research University","$44,100.00","$70,300.00"
[object Object],"State School, Research University",,,
,,,,
625 (tie),Idaho State University (ISU),"State School, Research University, For Sports Fans","$45,200.00","$70,200.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
625 (tie),SUNY - College at Oswego,State School,"$38,900.00","$70,200.00"
[object Object],State School,,,
,,,,
625 (tie),Shawnee State University,"State School, Liberal Arts School","$43,700.00","$70,200.00"
[object Object],"State School, Liberal Arts School",,,
,,,,
625 (tie),Utah Valley University,"State School, For Sports Fans","$44,600.00","$70,200.00"
[object Object],"State School, For Sports Fans",,,
,,,,
629 (tie),Appalachian State University,"State School, For Sports Fans","$41,300.00","$70,100.00"
[object Object],"State School, For Sports Fans",,,
,,,,
629 (tie),Eastern Michigan University,"State School, For Sports Fans","$41,800.00","$70,100.00"
[object Object],"State School, For Sports Fans",,,
,,,,
631 (tie),"Bethel University - Saint Paul, MN","Private School, Religious","$44,400.00","$70,000.00"
[object Object],"Private School, Religious",,,
,,,,
631 (tie),Hiram College,"Private School, Liberal Arts School","$40,000.00","$70,000.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
631 (tie),Missouri State University (MSU),"State School, For Sports Fans","$40,300.00","$70,000.00"
[object Object],"State School, For Sports Fans",,,
,,,,
631 (tie),University of Baltimore,State School,"$48,300.00","$70,000.00"
[object Object],State School,,,
,,,,
631 (tie),University of Texas at Tyler,State School,"$47,600.00","$70,000.00"
[object Object],State School,,,
,,,,
636 (tie),Eastern Kentucky University,"State School, For Sports Fans","$40,000.00","$69,900.00"
[object Object],"State School, For Sports Fans",,,
,,,,
636 (tie),Husson University,Private School,"$42,200.00","$69,900.00"
[object Object],Private School,,,
,,,,
636 (tie),Metropolitan State University,State School,"$44,200.00","$69,900.00"
[object Object],State School,,,
,,,,
636 (tie),Metropolitan State University of Denver,State School,"$44,300.00","$69,900.00"
[object Object],State School,,,
,,,,
636 (tie),Rollins College,Private School,"$44,500.00","$69,900.00"
[object Object],Private School,,,
,,,,
636 (tie),"St. Joseph's College (SJC) - Brooklyn, NY",Private School,"$36,800.00","$69,900.00"
[object Object],Private School,,,
,,,,
642 (tie),East Carolina University (ECU),"State School, For Sports Fans","$43,100.00","$69,800.00"
[object Object],"State School, For Sports Fans",,,
,,,,
642 (tie),Sam Houston State University,"State School, For Sports Fans","$42,600.00","$69,800.00"
[object Object],"State School, For Sports Fans",,,
,,,,
642 (tie),"University of St. Thomas - Houston, TX","Private School, Religious","$44,900.00","$69,800.00"
[object Object],"Private School, Religious",,,
,,,,
642 (tie),Virginia Commonwealth University (VCU),"State School, Research University, For Sports Fans","$44,600.00","$69,800.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
646 (tie),California State University - Dominguez Hills (CSUDH),State School,"$43,600.00","$69,700.00"
[object Object],State School,,,
,,,,
646 (tie),Florida Southern College,"Private School, Religious","$40,300.00","$69,700.00"
[object Object],"Private School, Religious",,,
,,,,
646 (tie),Franciscan University of Steubenville,"Private School, Religious","$45,500.00","$69,700.00"
[object Object],"Private School, Religious",,,
,,,,
646 (tie),Park University,"Private School, Business School","$43,400.00","$69,700.00"
[object Object],"Private School, Business School",,,
,,,,
650 (tie),Central Michigan University,"State School, For Sports Fans","$41,800.00","$69,500.00"
[object Object],"State School, For Sports Fans",,,
,,,,
650 (tie),University of Wisconsin (UW) - River Falls Campus,State School,"$41,900.00","$69,500.00"
[object Object],State School,,,
,,,,
652 (tie),Angelo State University,State School,"$43,800.00","$69,400.00"
[object Object],State School,,,
,,,,
652 (tie),Hood College,Private School,"$39,900.00","$69,400.00"
[object Object],Private School,,,
,,,,
652 (tie),Tarleton State University (TSU),State School,"$41,800.00","$69,400.00"
[object Object],State School,,,
,,,,
655 (tie),Austin Peay State University,"State School, For Sports Fans","$39,200.00","$69,300.00"
[object Object],"State School, For Sports Fans",,,
,,,,
655 (tie),Point Park University,Private School,"$39,200.00","$69,300.00"
[object Object],Private School,,,
,,,,
657 (tie),Capital University,"Private School, Religious","$42,100.00","$69,200.00"
[object Object],"Private School, Religious",,,
,,,,
657 (tie),"Doane College - Lincoln, NE","Private School, Business School","$41,100.00","$69,200.00"
[object Object],"Private School, Business School",,,
,,,,
657 (tie),Rhode Island College,State School,"$42,100.00","$69,200.00"
[object Object],State School,,,
,,,,
657 (tie),University of Central Missouri,State School,"$42,300.00","$69,200.00"
[object Object],State School,,,
,,,,
657 (tie),University of Indianapolis,"Private School, Religious","$42,800.00","$69,200.00"
[object Object],"Private School, Religious",,,
,,,,
657 (tie),Winston-Salem State University,State School,"$43,300.00","$69,200.00"
[object Object],State School,,,
,,,,
663 (tie),Berry College,"Private School, Liberal Arts School","$37,200.00","$69,100.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
663 (tie),Eastern Washington University,"State School, For Sports Fans","$47,100.00","$69,100.00"
[object Object],"State School, For Sports Fans",,,
,,,,
663 (tie),School of the Art Institute of Chicago,"Private School, Arts, Music & Design School","$39,700.00","$69,100.00"
[object Object],"Private School, Arts, Music & Design School",,,
,,,,
666,Boise State University (BSU),"State School, For Sports Fans","$42,200.00","$69,000.00"
[object Object],"State School, For Sports Fans",,,
,,,,
667 (tie),High Point University,"Private School, Religious, For Sports Fans","$42,400.00","$68,900.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
667 (tie),Langston University,State School,"$40,500.00","$68,900.00"
[object Object],State School,,,
,,,,
667 (tie),University of North Florida (UNF),"State School, For Sports Fans","$42,600.00","$68,900.00"
[object Object],"State School, For Sports Fans",,,
,,,,
670 (tie),John Brown University,Private School,"$38,900.00","$68,800.00"
[object Object],Private School,,,
,,,,
670 (tie),Saint Mary's University of Minnesota,"Private School, Religious","$46,100.00","$68,800.00"
[object Object],"Private School, Religious",,,
,,,,
672,Nicholls State University,"State School, For Sports Fans","$37,900.00","$68,700.00"
[object Object],"State School, For Sports Fans",,,
,,,,
673 (tie),Northwest Nazarene University,"Private School, Religious","$36,500.00","$68,600.00"
[object Object],"Private School, Religious",,,
,,,,
673 (tie),Nyack College,"Private School, Religious","$36,600.00","$68,600.00"
[object Object],"Private School, Religious",,,
,,,,
673 (tie),University of Illinois at Springfield,State School,"$43,000.00","$68,600.00"
[object Object],State School,,,
,,,,
676 (tie),Indiana University-Purdue University - Fort Wayne (IPFW),"State School, For Sports Fans","$41,800.00","$68,500.00"
[object Object],"State School, For Sports Fans",,,
,,,,
676 (tie),Troy University,"State School, For Sports Fans","$38,600.00","$68,500.00"
[object Object],"State School, For Sports Fans",,,
,,,,
678 (tie),"Bellevue University - Bellevue, NE","Private School, Business School","$44,800.00","$68,400.00"
[object Object],"Private School, Business School",,,
,,,,
678 (tie),Savannah College of Art and Design (SCAD),"Private School, Arts, Music & Design School","$41,000.00","$68,400.00"
[object Object],"Private School, Arts, Music & Design School",,,
,,,,
678 (tie),Slippery Rock University,State School,"$40,200.00","$68,400.00"
[object Object],State School,,,
,,,,
678 (tie),Texas Wesleyan University,"Private School, Religious","$34,900.00","$68,400.00"
[object Object],"Private School, Religious",,,
,,,,
682 (tie),Aurora University,Private School,"$41,700.00","$68,300.00"
[object Object],Private School,,,
,,,,
682 (tie),Tuskegee University,Private School,"$53,300.00","$68,300.00"
[object Object],Private School,,,
,,,,
682 (tie),University of Tennessee at Chattanooga (UTC),"State School, For Sports Fans","$40,900.00","$68,300.00"
[object Object],"State School, For Sports Fans",,,
,,,,
682 (tie),University of Wisconsin (UWP) - Parkside,"State School, Liberal Arts School","$43,000.00","$68,300.00"
[object Object],"State School, Liberal Arts School",,,
,,,,
686,Georgia Southern University,"State School, For Sports Fans","$45,500.00","$68,200.00"
[object Object],"State School, For Sports Fans",,,
,,,,
687 (tie),George Fox University,"Private School, Religious","$49,700.00","$68,100.00"
[object Object],"Private School, Religious",,,
,,,,
687 (tie),Immaculata University,"Private School, Religious","$46,300.00","$68,100.00"
[object Object],"Private School, Religious",,,
,,,,
687 (tie),Oral Roberts University (ORU),"Private School, Religious, For Sports Fans","$40,100.00","$68,100.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
687 (tie),SUNY - Empire State College,State School,"$41,600.00","$68,100.00"
[object Object],State School,,,
,,,,
691 (tie),Carlow University,"Private School, Religious","$37,700.00","$68,000.00"
[object Object],"Private School, Religious",,,
,,,,
691 (tie),Roger Williams University,Private School,"$49,600.00","$68,000.00"
[object Object],Private School,,,
,,,,
693 (tie),Belmont Abbey College,"Private School, Religious","$43,500.00","$67,900.00"
[object Object],"Private School, Religious",,,
,,,,
693 (tie),Saint Leo University,"Private School, Religious","$39,400.00","$67,900.00"
[object Object],"Private School, Religious",,,
,,,,
693 (tie),"University of the Arts (UArts) - Philadelphia, PA","Private School, Arts, Music & Design School","$42,400.00","$67,900.00"
[object Object],"Private School, Arts, Music & Design School",,,
,,,,
696,Western State College of Colorado,"State School, Liberal Arts School","$45,800.00","$67,800.00"
[object Object],"State School, Liberal Arts School",,,
,,,,
697 (tie),"Carroll University - Waukesha, WI","Private School, Religious","$39,000.00","$67,700.00"
[object Object],"Private School, Religious",,,
,,,,
697 (tie),Southern New Hampshire University,Private School,"$44,900.00","$67,700.00"
[object Object],Private School,,,
,,,,
699,University of North Carolina at Wilmington (UNCW),"State School, For Sports Fans","$39,800.00","$67,600.00"
[object Object],"State School, For Sports Fans",,,
,,,,
700 (tie),"East Central University - Ada, OK",State School,"$40,200.00","$67,500.00"
[object Object],State School,,,
,,,,
700 (tie),Pennsylvania College of Technology,State School,"$50,200.00","$67,500.00"
[object Object],State School,,,
,,,,
700 (tie),St. Ambrose University,"Private School, Religious","$43,200.00","$67,500.00"
[object Object],"Private School, Religious",,,
,,,,
703 (tie),Colorado Christian University,"Private School, Religious","$44,400.00","$67,400.00"
[object Object],"Private School, Religious",,,
,,,,
703 (tie),Roosevelt University,Private School,"$40,800.00","$67,400.00"
[object Object],Private School,,,
,,,,
703 (tie),Vanguard University of Southern California,"Private School, Religious","$42,000.00","$67,400.00"
[object Object],"Private School, Religious",,,
,,,,
706 (tie),Christopher Newport University,State School,"$44,500.00","$67,300.00"
[object Object],State School,,,
,,,,
706 (tie),SUNY - New Paltz,State School,"$40,400.00","$67,300.00"
[object Object],State School,,,
,,,,
706 (tie),Southern Utah University,"State School, For Sports Fans","$40,400.00","$67,300.00"
[object Object],"State School, For Sports Fans",,,
,,,,
709 (tie),Avila University,"Private School, Religious","$39,700.00","$67,200.00"
[object Object],"Private School, Religious",,,
,,,,
709 (tie),Marshall University,"State School, For Sports Fans","$40,400.00","$67,200.00"
[object Object],"State School, For Sports Fans",,,
,,,,
709 (tie),"Simpson College - Indianola, IA","Private School, Liberal Arts School, Religious","$42,900.00","$67,200.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
712 (tie),Jacksonville State University (JSU),"State School, For Sports Fans","$40,300.00","$67,100.00"
[object Object],"State School, For Sports Fans",,,
,,,,
712 (tie),Northwest Missouri State University,State School,"$42,200.00","$67,100.00"
[object Object],State School,,,
,,,,
712 (tie),Southern Illinois University (SIU) - Edwardsville Campus,"State School, For Sports Fans","$48,300.00","$67,100.00"
[object Object],"State School, For Sports Fans",,,
,,,,
712 (tie),University of Memphis (U of M),"State School, Research University, For Sports Fans","$44,500.00","$67,100.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
716,Southeastern Oklahoma State University,State School,"$42,400.00","$67,000.00"
[object Object],State School,,,
,,,,
717 (tie),Barry University,"Private School, Religious","$46,500.00","$66,900.00"
[object Object],"Private School, Religious",,,
,,,,
717 (tie),Millersville University of Pennsylvania,State School,"$41,500.00","$66,900.00"
[object Object],State School,,,
,,,,
717 (tie),Stetson University,"Private School, For Sports Fans","$37,500.00","$66,900.00"
[object Object],"Private School, For Sports Fans",,,
,,,,
717 (tie),Wayland Baptist University,"Private School, Religious","$46,000.00","$66,900.00"
[object Object],"Private School, Religious",,,
,,,,
721 (tie),Alabama A&M University (AAMU),"State School, For Sports Fans","$45,700.00","$66,800.00"
[object Object],"State School, For Sports Fans",,,
,,,,
721 (tie),Northwestern State University,"State School, For Sports Fans","$39,000.00","$66,800.00"
[object Object],"State School, For Sports Fans",,,
,,,,
721 (tie),Western Kentucky University,"State School, For Sports Fans","$41,200.00","$66,800.00"
[object Object],"State School, For Sports Fans",,,
,,,,
724 (tie),Emporia State University,State School,"$38,700.00","$66,700.00"
[object Object],State School,,,
,,,,
724 (tie),"Manchester College - North Manchester, IN","Private School, Religious","$47,600.00","$66,700.00"
[object Object],"Private School, Religious",,,
,,,,
724 (tie),"Saint Mary's College - Notre Dame, IN","Private School, Liberal Arts School, Religious","$47,700.00","$66,700.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
727 (tie),New Jersey City University,State School,"$44,000.00","$66,600.00"
[object Object],State School,,,
,,,,
727 (tie),Southern Nazarene University,"Private School, Religious","$41,000.00","$66,600.00"
[object Object],"Private School, Religious",,,
,,,,
727 (tie),"Union University - Jackson, TN","Private School, Religious","$42,200.00","$66,600.00"
[object Object],"Private School, Religious",,,
,,,,
727 (tie),University of Nebraska Medical Center,State School,"$50,600.00","$66,600.00"
[object Object],State School,,,
,,,,
731 (tie),Brenau University,Private School,"$43,100.00","$66,400.00"
[object Object],Private School,,,
,,,,
731 (tie),Walsh College of Accountancy and Business Administration,"Private School, Business School","$48,400.00","$66,400.00"
[object Object],"Private School, Business School",,,
,,,,
731 (tie),Western Oregon University,State School,"$38,600.00","$66,400.00"
[object Object],State School,,,
,,,,
734,Waynesburg University,"Private School, Religious","$44,500.00","$66,300.00"
[object Object],"Private School, Religious",,,
,,,,
735 (tie),Kent State University (KSU),"State School, Research University, For Sports Fans","$41,000.00","$66,200.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
735 (tie),St Petersburg College,State School,"$44,100.00","$66,200.00"
[object Object],State School,,,
,,,,
735 (tie),University of Arkansas - Little Rock Campus,"State School, For Sports Fans","$43,800.00","$66,200.00"
[object Object],"State School, For Sports Fans",,,
,,,,
735 (tie),University of Central Oklahoma (UCO),State School,"$41,600.00","$66,200.00"
[object Object],State School,,,
,,,,
739,Murray State University,"State School, For Sports Fans","$40,200.00","$66,100.00"
[object Object],"State School, For Sports Fans",,,
,,,,
740,Augusta State University,State School,"$38,200.00","$66,000.00"
[object Object],State School,,,
,,,,
741 (tie),Athens State University,State School,"$40,500.00","$65,900.00"
[object Object],State School,,,
,,,,
741 (tie),Texas Southern University,"State School, For Sports Fans","$43,300.00","$65,900.00"
[object Object],"State School, For Sports Fans",,,
,,,,
741 (tie),University of Wisconsin (UW) - Stevens Point Campus,State School,"$41,700.00","$65,900.00"
[object Object],State School,,,
,,,,
744 (tie),Fort Hays State University (FHSU),State School,"$40,900.00","$65,800.00"
[object Object],State School,,,
,,,,
744 (tie),Middle Tennessee State University (MTSU),"State School, For Sports Fans","$42,100.00","$65,800.00"
[object Object],"State School, For Sports Fans",,,
,,,,
746 (tie),Clayton State University,State School,"$42,600.00","$65,700.00"
[object Object],State School,,,
,,,,
746 (tie),Evergreen State College,State School,"$40,400.00","$65,700.00"
[object Object],State School,,,
,,,,
746 (tie),University of South Alabama,"State School, Research University, For Sports Fans","$45,000.00","$65,700.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
749 (tie),Clark Atlanta University (CAU),"Private School, Religious","$41,200.00","$65,600.00"
[object Object],"Private School, Religious",,,
,,,,
749 (tie),Mercy College,Private School,"$39,100.00","$65,600.00"
[object Object],Private School,,,
,,,,
749 (tie),Trevecca Nazarene University,"Private School, Religious","$44,800.00","$65,600.00"
[object Object],"Private School, Religious",,,
,,,,
752 (tie),Franklin University,"Private School, Business School","$44,700.00","$65,400.00"
[object Object],"Private School, Business School",,,
,,,,
752 (tie),Governors State University,State School,"$40,800.00","$65,400.00"
[object Object],State School,,,
,,,,
752 (tie),Mesa State College,"State School, Liberal Arts School","$42,600.00","$65,400.00"
[object Object],"State School, Liberal Arts School",,,
,,,,
755,Delaware Valley College,Private School,"$35,500.00","$65,100.00"
[object Object],Private School,,,
,,,,
756 (tie),Andrews University,"Private School, Religious","$43,100.00","$65,000.00"
[object Object],"Private School, Religious",,,
,,,,
756 (tie),Bowie State University (BSU),State School,"$46,000.00","$65,000.00"
[object Object],State School,,,
,,,,
756 (tie),University of Nebraska at Kearney,State School,"$39,100.00","$65,000.00"
[object Object],State School,,,
,,,,
759 (tie),Charleston Southern University (CSU),"Private School, Religious, For Sports Fans","$35,200.00","$64,900.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
759 (tie),Keuka College,"Private School, Religious","$37,400.00","$64,900.00"
[object Object],"Private School, Religious",,,
,,,,
759 (tie),Lock Haven University,State School,"$37,300.00","$64,900.00"
[object Object],State School,,,
,,,,
759 (tie),Luther College,"Private School, Liberal Arts School, Religious","$41,300.00","$64,900.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
763 (tie),Grand Valley State University,State School,"$41,500.00","$64,800.00"
[object Object],State School,,,
,,,,
763 (tie),West Virginia State University,"State School, Liberal Arts School","$32,200.00","$64,800.00"
[object Object],"State School, Liberal Arts School",,,
,,,,
765 (tie),Cedarville University,"Private School, Religious","$46,900.00","$64,700.00"
[object Object],"Private School, Religious",,,
,,,,
765 (tie),College of the Ozarks,"Private School, Religious, Sober School","$37,500.00","$64,700.00"
[object Object],"Private School, Religious, Sober School",,,
,,,,
765 (tie),"Columbia College - Columbia, MO","Private School, Religious","$39,500.00","$64,700.00"
[object Object],"Private School, Religious",,,
,,,,
765 (tie),East Stroudsburg University (ESU),State School,"$39,500.00","$64,700.00"
[object Object],State School,,,
,,,,
765 (tie),University of West Florida (UWF),State School,"$39,500.00","$64,700.00"
[object Object],State School,,,
,,,,
770 (tie),Moore College of Art and Design,"Private School, Arts, Music & Design School","$36,100.00","$64,600.00"
[object Object],"Private School, Arts, Music & Design School",,,
,,,,
770 (tie),Quincy University,"Private School, Religious","$40,800.00","$64,600.00"
[object Object],"Private School, Religious",,,
,,,,
770 (tie),University of Arkansas for Medical Sciences (UAMS),State School,"$46,200.00","$64,600.00"
[object Object],State School,,,
,,,,
773 (tie),Granite State College,"State School, Liberal Arts School","$41,000.00","$64,500.00"
[object Object],"State School, Liberal Arts School",,,
,,,,
773 (tie),SUNY - College at Cortland,State School,"$41,600.00","$64,500.00"
[object Object],State School,,,
,,,,
775 (tie),Mercer University,"Private School, For Sports Fans","$47,900.00","$64,400.00"
[object Object],"Private School, For Sports Fans",,,
,,,,
775 (tie),Salve Regina University,"Private School, Religious","$46,400.00","$64,400.00"
[object Object],"Private School, Religious",,,
,,,,
775 (tie),Valdosta State University (VSU),State School,"$37,700.00","$64,400.00"
[object Object],State School,,,
,,,,
778 (tie),Armstrong Atlantic State University (AASU),State School,"$44,100.00","$64,300.00"
[object Object],State School,,,
,,,,
778 (tie),Eastern Oregon University,State School,"$36,000.00","$64,300.00"
[object Object],State School,,,
,,,,
778 (tie),Francis Marion University,State School,"$37,500.00","$64,300.00"
[object Object],State School,,,
,,,,
778 (tie),"Johnson & Wales University (JWU) - Providence, RI",Private School,"$43,500.00","$64,300.00"
[object Object],Private School,,,
,,,,
782 (tie),Alverno College,"Private School, Religious","$41,900.00","$64,200.00"
[object Object],"Private School, Religious",,,
,,,,
782 (tie),Georgia College & State University (GCSU),State School,"$41,800.00","$64,200.00"
[object Object],State School,,,
,,,,
784,University of Southern Indiana,State School,"$39,300.00","$64,100.00"
[object Object],State School,,,
,,,,
785 (tie),East Tennessee State University (ETSU),"State School, For Sports Fans","$40,100.00","$64,000.00"
[object Object],"State School, For Sports Fans",,,
,,,,
785 (tie),Geneva College,"Private School, Religious","$43,700.00","$64,000.00"
[object Object],"Private School, Religious",,,
,,,,
787 (tie),"Mount Mary College - Milwaukee, WI","Private School, Religious","$38,900.00","$63,800.00"
[object Object],"Private School, Religious",,,
,,,,
787 (tie),Plymouth State University,State School,"$41,900.00","$63,800.00"
[object Object],State School,,,
,,,,
787 (tie),The College of Saint Scholastica,"Private School, Religious","$49,500.00","$63,800.00"
[object Object],"Private School, Religious",,,
,,,,
787 (tie),University of Wisconsin (UW) - Oshkosh Campus,State School,"$42,900.00","$63,800.00"
[object Object],State School,,,
,,,,
791 (tie),Indiana Wesleyan University (IWU),"Private School, Religious","$44,000.00","$63,700.00"
[object Object],"Private School, Religious",,,
,,,,
791 (tie),The Sage Colleges,Private School,"$38,600.00","$63,700.00"
[object Object],Private School,,,
,,,,
793 (tie),Cedar Crest College,Private School,"$43,300.00","$63,600.00"
[object Object],Private School,,,
,,,,
793 (tie),Centenary College,"Private School, Religious","$38,100.00","$63,600.00"
[object Object],"Private School, Religious",,,
,,,,
793 (tie),Southwest Minnesota State University (SMSU),State School,"$39,000.00","$63,600.00"
[object Object],State School,,,
,,,,
793 (tie),Ursuline College,"Private School, Religious","$42,500.00","$63,600.00"
[object Object],"Private School, Religious",,,
,,,,
793 (tie),Westfield State University,State School,"$43,800.00","$63,600.00"
[object Object],State School,,,
,,,,
798 (tie),Roberts Wesleyan College,"Private School, Religious","$44,400.00","$63,500.00"
[object Object],"Private School, Religious",,,
,,,,
798 (tie),Southern Oregon University,State School,"$40,700.00","$63,500.00"
[object Object],State School,,,
,,,,
798 (tie),University of Southern Maine (USM),State School,"$39,400.00","$63,500.00"
[object Object],State School,,,
,,,,
801 (tie),Colorado State University (CSU) - Pueblo Campus,State School,"$44,400.00","$63,400.00"
[object Object],State School,,,
,,,,
801 (tie),Lander University,State School,"$38,800.00","$63,400.00"
[object Object],State School,,,
,,,,
803 (tie),Arkansas Tech University,State School,"$41,300.00","$63,300.00"
[object Object],State School,,,
,,,,
803 (tie),Bridgewater State College,State School,"$41,700.00","$63,300.00"
[object Object],State School,,,
,,,,
803 (tie),"Clarke College - Dubuque, IA","Private School, Religious","$39,500.00","$63,300.00"
[object Object],"Private School, Religious",,,
,,,,
803 (tie),Missouri Western State University,State School,"$40,100.00","$63,300.00"
[object Object],State School,,,
,,,,
807 (tie),"Columbia College - Chicago, IL","Private School, Arts, Music & Design School","$41,900.00","$63,200.00"
[object Object],"Private School, Arts, Music & Design School",,,
,,,,
807 (tie),Mount Olive College,"Private School, Religious","$36,400.00","$63,200.00"
[object Object],"Private School, Religious",,,
,,,,
807 (tie),Ripon College,"Private School, Liberal Arts School","$42,400.00","$63,200.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
810 (tie),"Baker College - Flint, MI",Private School,"$44,900.00","$63,100.00"
[object Object],Private School,,,
,,,,
810 (tie),Friends University,"Private School, Business School","$41,000.00","$63,100.00"
[object Object],"Private School, Business School",,,
,,,,
810 (tie),Southern Connecticut State University (SCSU),State School,"$44,300.00","$63,100.00"
[object Object],State School,,,
,,,,
810 (tie),Viterbo University,"Private School, Religious","$39,200.00","$63,100.00"
[object Object],"Private School, Religious",,,
,,,,
810 (tie),Whitworth University,"Private School, Religious","$42,300.00","$63,100.00"
[object Object],"Private School, Religious",,,
,,,,
815 (tie),Georgia Southwestern State University,State School,"$39,100.00","$63,000.00"
[object Object],State School,,,
,,,,
815 (tie),Missouri Southern State University (MSSU),State School,"$41,900.00","$63,000.00"
[object Object],State School,,,
,,,,
817 (tie),Madonna University,"Private School, Religious","$42,600.00","$62,900.00"
[object Object],"Private School, Religious",,,
,,,,
817 (tie),Midamerica Nazarene University,"Private School, Religious","$42,200.00","$62,900.00"
[object Object],"Private School, Religious",,,
,,,,
819 (tie),Marymount Manhattan College,"Private School, Liberal Arts School","$46,500.00","$62,800.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
819 (tie),Washburn University,State School,"$43,600.00","$62,800.00"
[object Object],State School,,,
,,,,
821,SUNY - College at Buffalo,State School,"$38,300.00","$62,600.00"
[object Object],State School,,,
,,,,
822 (tie),Malone University,"Private School, Religious","$42,000.00","$62,500.00"
[object Object],"Private School, Religious",,,
,,,,
822 (tie),Morgan State University,"State School, For Sports Fans","$46,500.00","$62,500.00"
[object Object],"State School, For Sports Fans",,,
,,,,
824 (tie),Ashland University,"Private School, Religious","$40,900.00","$62,400.00"
[object Object],"Private School, Religious",,,
,,,,
824 (tie),Millikin University,"Private School, Religious","$42,500.00","$62,400.00"
[object Object],"Private School, Religious",,,
,,,,
824 (tie),University of The Incarnate Word,"Private School, Religious, For Sports Fans","$45,000.00","$62,400.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
827 (tie),Auburn University - Montgomery,State School,"$42,600.00","$62,300.00"
[object Object],State School,,,
,,,,
827 (tie),Coppin State University (CSU),"State School, For Sports Fans","$37,200.00","$62,300.00"
[object Object],"State School, For Sports Fans",,,
,,,,
829 (tie),California Baptist University,"Private School, Religious","$42,000.00","$62,200.00"
[object Object],"Private School, Religious",,,
,,,,
829 (tie),Coastal Carolina University,"State School, For Sports Fans","$39,500.00","$62,200.00"
[object Object],"State School, For Sports Fans",,,
,,,,
829 (tie),Indiana University (IU) - Kokomo,State School,"$39,600.00","$62,200.00"
[object Object],State School,,,
,,,,
829 (tie),North Carolina Wesleyan College (NCWC),"Private School, Religious","$43,500.00","$62,200.00"
[object Object],"Private School, Religious",,,
,,,,
829 (tie),Spring Arbor University,"Private School, Religious","$35,700.00","$62,200.00"
